HomeTeam,AwayTeam,FTHG,FTAG,Referee,HF,AF,HY,AY,HR,AR
Hibernian,St Johnstone,0,0,A Muir,15,14,4,1,0,1
Inverness C,Aberdeen,3,4,S McLean,9,8,2,0,0,0
Kilmarnock,Partick,2,1,C Thomson,10,12,0,2,0,0
Motherwell,St Mirren,3,0,W Collum,8,9,1,2,0,0
Aberdeen,Motherwell,0,1,K Clancy,7,14,2,3,0,0
Hearts,Kilmarnock,0,4,J Beaton,17,14,4,2,0,0
Partick,Inverness C,0,0,W Collum,7,12,1,2,0,0
Ross County,Hibernian,0,2,B Colvin,13,11,3,1,0,0
St Johnstone,Celtic,0,1,C Thomson,19,4,3,1,0,0
St Mirren,Dundee United,4,1,B Madden,10,8,4,1,0,1
Aberdeen,Ross County,1,0,C Murray,6,12,0,1,0,0
Hibernian,Kilmarnock,3,0,W Collum,13,10,1,0,0,0
Inverness C,Celtic,0,1,C Allan,16,13,2,2,0,0
Partick,Motherwell,1,5,S McLean,11,12,2,1,0,0
St Johnstone,Dundee United,3,0,S Finnie,15,15,1,4,0,1
St Mirren,Hearts,1,1,K Clancy,9,18,0,5,0,0
Celtic,Partick,1,0,K Clancy,5,9,1,1,0,0
Dundee United,Aberdeen,1,2,W Collum,20,7,2,2,0,0
Inverness C,Ross County,1,2,A Muir,9,14,1,4,1,0
Motherwell,St Johnstone,4,0,J Beaton,9,5,1,1,0,0
Hibernian,Hearts,2,1,B Madden,10,19,1,4,0,0
Kilmarnock,St Mirren,2,1,B Colvin,12,13,0,1,0,0
Ross County,St Johnstone,1,0,E Norris,13,14,1,1,0,0
Dundee United,Hibernian,2,2,S McLean,8,8,1,1,0,0
Hearts,Partick,0,2,I Brines,10,12,0,0,0,1
Kilmarnock,Aberdeen,0,1,C Charleston,14,18,4,2,0,1
St Mirren,Celtic,0,4,J Beaton,7,10,1,3,0,0
Aberdeen,Hibernian,1,0,C Thomson,13,10,1,2,0,0
Hearts,Motherwell,0,1,W Collum,11,16,0,1,0,0
Partick,Ross County,3,3,B Madden,12,14,3,1,0,1
St Johnstone,St Mirren,2,0,C Murray,14,15,2,2,0,0
Inverness C,Dundee United,1,1,J Beaton,12,13,1,0,0,0
Aberdeen,Inverness C,0,1,I Brines,12,12,1,2,0,0
Celtic,Motherwell,3,0,B Madden,9,10,2,2,1,0
Hibernian,St Mirren,2,3,W Collum,16,10,1,2,0,0
Partick,Kilmarnock,1,1,S McLean,10,9,1,2,1,0
Ross County,Dundee United,3,0,C Charleston,13,19,2,5,0,0
St Johnstone,Hearts,3,3,B Colvin,8,11,1,3,2,1
Partick,St Johnstone,0,1,K Clancy,8,9,2,4,0,0
Kilmarnock,Inverness C,2,0,W Collum,14,8,0,0,0,0
Motherwell,Aberdeen,2,2,S McLean,14,10,3,1,0,0
Ross County,Hearts,1,2,K Clancy,6,11,3,3,0,0
St Mirren,Partick,0,0,J Beaton,7,8,2,1,0,0
Hibernian,Celtic,0,4,C Thomson,14,10,3,0,0,0
Celtic,Kilmarnock,4,0,B Colvin,4,9,1,2,0,0
Hearts,St Mirren,2,1,S McLean,12,16,1,3,0,1
Kilmarnock,Ross County,2,2,C Allan,8,7,1,0,0,1
Partick,Dundee United,1,1,W Collum,7,9,3,1,0,0
Celtic,St Mirren,1,0,A Muir,10,6,0,0,0,0
Dundee United,Kilmarnock,3,2,J Beaton,8,13,1,1,0,0
Hibernian,Ross County,2,1,B Madden,13,10,0,1,0,0
Inverness C,Hearts,0,0,C Thomson,15,12,1,2,0,0
Motherwell,Partick,4,3,S Finnie,12,10,3,2,0,0
St Mirren,Aberdeen,0,1,C Murray,11,10,2,1,0,0
Celtic,St Johnstone,3,0,S McLean,6,9,0,1,0,0
Dundee United,Motherwell,3,1,B Madden,13,9,1,0,0,0
Hearts,Celtic,0,2,K Clancy,15,16,3,2,0,0
Kilmarnock,Hibernian,1,1,C Thomson,7,5,1,2,0,0
Partick,Aberdeen,3,1,A Muir,13,7,4,0,0,0
Ross County,St Mirren,2,1,W Collum,11,15,1,0,0,0
St Johnstone,Inverness C,0,1,E Norris,18,14,3,2,0,0
Aberdeen,Celtic,2,1,C Thomson,13,13,2,2,0,1
Ross County,Inverness C,0,3,C Murray,12,11,0,1,0,0
St Johnstone,Motherwell,3,0,K Clancy,17,14,2,0,0,0
Hibernian,Dundee United,1,3,E Norris,18,10,3,3,1,0
Aberdeen,St Johnstone,1,0,W Collum,9,12,0,2,0,1
Celtic,Inverness C,5,0,B Colvin,8,6,0,0,0,0
Motherwell,Hearts,4,1,J Beaton,17,14,1,3,0,0
Ross County,Partick,1,1,C Thomson,11,14,2,4,0,0
St Mirren,Kilmarnock,2,0,C Allan,2,8,1,1,0,0
Hibernian,Motherwell,3,3,S McLean,11,4,0,0,0,0
Kilmarnock,Hearts,4,2,E Norris,17,11,3,2,0,0
Dundee United,St Johnstone,0,1,C Allan,17,17,2,4,0,0
Inverness C,Hibernian,0,0,S Finnie,13,16,2,2,0,0
Kilmarnock,Celtic,0,3,W Collum,8,6,1,0,0,0
Dundee United,St Mirren,3,2,C Thomson,6,9,1,1,0,0
Partick,Hibernian,3,1,B Colvin,9,10,1,0,0,0
St Johnstone,Ross County,0,1,B Madden,15,12,2,1,0,0
Motherwell,Inverness C,2,0,A Muir,9,10,1,1,0,0
Hearts,Dundee United,1,2,B Madden,6,16,0,0,0,0
Aberdeen,Kilmarnock,2,1,C Thomson,7,12,0,0,0,0
Celtic,St Mirren,3,0,S Finnie,8,6,2,0,0,0
Inverness C,Partick,1,0,K Clancy,9,10,3,1,0,0
Motherwell,Ross County,2,1,I Brines,4,5,2,1,0,0
St Johnstone,Hibernian,2,0,S McLean,10,10,0,3,0,1
Ross County,Aberdeen,1,1,B Colvin,9,11,0,1,0,1
St Mirren,St Johnstone,0,1,A Muir,13,6,2,2,0,0
Dundee United,Inverness C,2,1,E Norris,10,8,1,3,0,0
Partick,Celtic,1,5,S McLean,6,6,0,2,0,0
Aberdeen,Dundee United,1,1,C Murray,10,13,1,1,0,0
Celtic,Ross County,1,1,J Beaton,16,9,1,2,0,0
Inverness C,St Mirren,2,2,W Collum,15,15,0,1,1,0
Motherwell,Kilmarnock,1,2,B Madden,11,15,1,1,0,0
St Johnstone,Partick,1,1,C Thomson,15,13,1,4,0,0
Hearts,Hibernian,2,0,S McLean,11,10,1,1,0,1
Inverness C,Motherwell,1,2,C Thomson,12,13,0,2,0,0
Hearts,Aberdeen,1,1,K Clancy,18,16,2,3,1,0
Ross County,Inverness C,1,2,C Murray,12,12,1,3,0,0
Dundee United,Celtic,0,2,C Thomson,14,8,3,2,0,0
Kilmarnock,St Johnstone,1,2,S McLean,12,8,2,1,0,0
Partick,Hearts,2,4,S Finnie,17,13,1,2,0,0
St Mirren,Motherwell,3,2,E Norris,10,12,1,0,0,0
Hibernian,Aberdeen,0,2,B Madden,7,10,0,0,0,0
Inverness C,Aberdeen,0,0,B Madden,13,11,0,0,0,0
Hearts,Ross County,2,0,W Collum,3,3,1,3,1,0
Kilmarnock,Partick,1,2,B Colvin,11,8,2,2,0,0
Motherwell,Celtic,3,3,C Thomson,8,10,0,1,0,0
St Johnstone,Dundee United,2,0,J Beaton,13,14,1,0,0,0
St Mirren,Hibernian,2,0,K Clancy,13,19,1,3,1,0
Partick,St Mirren,1,1,C Murray,12,9,2,1,0,0
Aberdeen,St Johnstone,1,1,A Muir,14,16,1,3,0,0
Dundee United,Motherwell,5,1,S McLean,9,19,0,3,0,0
Ross County,Kilmarnock,2,1,K Clancy,9,17,3,2,0,0
Celtic,Inverness C,6,0,C Charleston,8,10,0,1,0,0
Hibernian,Hearts,1,2,B Madden,20,14,3,1,0,0
Celtic,Aberdeen,5,2,I Brines,9,14,1,0,0,0
Hibernian,Partick,1,1,A Muir,14,12,1,1,1,0
Inverness C,Dundee United,1,1,B Colvin,13,11,0,0,0,0
Motherwell,St Johnstone,2,1,K Clancy,19,16,1,3,0,0
St Mirren,Ross County,1,0,C Thomson,10,11,0,1,0,0
